?
A-7D Corsair
Piper PA-31-350
Piper PA-31-350 Chieftain
Piper PA-31-350 Navajo
Piper PA-31-350 Navajo Chieftain
Piper PA-31T
Piper PA-31T Cheyenne
Piper PA-32
Piper PA-32-260
Piper PA-32-300
Piper PA-32-301
Piper PA-32-301 Cherokee
Piper PA-32-R301 Saratoga II HP
Piper PA-32R
Piper PA-32R-300
Piper PA-32RT-300
Piper PA-32RT-300T
Piper PA-34
Piper PA-34-200T
Piper PA-42
Piper PA-42 Cheyenne
Piper PA31-310
Pipper PA-23-250 Aztec
Pitcairn PA-6 Mailwing
Pitcairns PA-6
Potez 29
Potez 621
Potez IX
R4D-5
Reims Aviation 406
Robertson 414
Robertson C-U206F
Robertson R44 helicopter
Rochrbach Roland
Rockwell 1121B Jet Commander
Rockwell 500S Shrike Commander
Rockwell CT-39A Sabreliner
Rockwell Gulfstream Jetprop 840
Rockwell International 690B
Rockwell Sabreliner 40
Rockwell Sabreliner 60
Rockwell Sabreliner 65
Rockwell Turbo Commander 690B
Rohrbach Roland
Royal Airship Works R-101
Royal Airship Works ZR-2 (airship)
Rutan Long EZ (experimental aircraft)
Ryan M-1
S2F-1 / HSS-2
SNCASE Languedoc
SNCASE SE.2010 Armagnac
SNIAS SA330J
SPCA Meteore 63
Saab 340A
Saab 340B
Saab Scandia
Saab Scandia / Cessna 310
Saab Scandia 90A-1
Saab340B
Sabca F-VII
Sabca S-73
Salmson 2-A-2
Saro Cloud
Savbia-Marchetti  S-73P
Savoia Marchetti S-66
Savoia Marchetti S55
Savoia Marchetti SM 73
Savoia Marchetti SM-95
Savoia-Marchetti SM-75
Savoia-Marchetti SM-83
Savoia-Marchetti SM-95
Savoia-Marchetti SM73
Savoia-Marchetti SM83
Schutte-Lanz S-L-10 (airship)
Schutte-Lanz S-L-9 (airship)
Sepecat Jaguar A
Shaanxi Y-8D
Shaanxi Y-8F-200W
Shaanxi Y-8GX-3
Shaanxi Yunshuji Y-8/Yunshuji Y-8
Short  S-23 (flying boat)
Short  S-29 Stirling V
Short 360
Short Calcutta
Short Calcutta (flying boat)
Short Empire Flying Boat
Short Kent
Short S-23
Short S-23 (flying boat)
Short S-25 Sunderland 3 (flying boat)
Short S-26 (flying boat)
Short S-30 (flying boat)
Short S23 ��C�� Class flying boat
Short SC7- Skyvan
Short Sandringham (flying boat)
Short Sandringham 2 (flying boat)
Short Sandringham 5 (flying boat)
Short Sandringham 6 (flying boat)
Short Solent 3 (flying boat)
Short Stirling
Short Stirling IV
Short Sunderland
Short Sunderland (flying boat)
Short Sunderland 3
Short Sunderland 9 (flying boat)
Shorts 300-200
Shorts 330-200
Shorts 360
Shorts 360-100
Shorts 360-100 /Shorts 360-300
Shorts 360-300
Shorts SC-7 Skyvan
Shorts SC-7 Skyvan 3-100
Shorts SC-7 Skyvan 3-200
Shorts SC-7 Skyvan 3-300
Shorts SC-7 Skyvan 3A-200
Shorts SC-7 Skyvan 3M Variant 100
Shorts SC.7 Skyvan 3-100
Shrike Commander 500S
Siebel Si-204
Sikorksky CH-53 (helicopter)
Sikorsky  S 76 A
Sikorsky CH-53A (helicopter)
Sikorsky CH-53C (helicopter)
Sikorsky CH-53D
Sikorsky CH-53D (helicopter)
Sikorsky CH53D / Sikorsky CH53D
Sikorsky S 76
Sikorsky S-25
Sikorsky S-38 Flying Boat
Sikorsky S-38B
Sikorsky S-38B (flying boat)
Sikorsky S-38BB
Sikorsky S-42 (flying boat)
Sikorsky S-42A
Sikorsky S-42B (flying boat)
Sikorsky S-43
Sikorsky S-43 (flying boat)
Sikorsky S-43B (flying boat)
Sikorsky S-55B
Sikorsky S-58C helicopter
Sikorsky S-58ET
Sikorsky S-58ET (helilcopter)
Sikorsky S-58T
Sikorsky S-61L helicopter
Sikorsky S-61N
Sikorsky S-61N-II
Sikorsky S-62A
Sikorsky S-70 / Sikorsky S-70
Sikorsky S-70A-28
Sikorsky S-76
Sikorsky S-76A
Sikorsky S-76B helicopter
Sikorsky S-76C
Sikorsky S-76C++
Sikorsky S-92A
Sikorsky S43 (flying boat)
Sikorsky S61-L
Sikorsky S61L
Sikorsky UH-60 / Sikorsky UH-60
Sikorsky UH-60 Black Hawk
Sikorsky UH-60A / Sikorsky UH-60A
Sikorsky UH-60L Black Hawk
Sikorsly S-58ET
Silver City Airways
Sirkorsky 44A (flying boat)
Sirkorsky S-43 (flying boat)
Socata TB1-10 Tobago
Soloy 12EJ3
Spad 33
Stearman 4
Stearman C-38
Stearman C-3MB
Stearman M-2 Speedmail
Stinson
Stinson  SM-6000B
Stinson AT-19
Stinson Model A
Stinson Reliant
Stinson SM 6000B
Stinson SM-2A
Stinson SM-6000-B
Stinson SM-6000B
Stinson SM6000B Tri-motor
Stinson SR-7 Reliant
Sud Aviation Caravelle 1
Sud Aviation Caravelle 10R
Sud Aviation Caravelle 3
Sud Aviation SA 318C
Sud Aviation SE 210 Caravelle III
Sud Aviation SE-210 Caravelle
Sud Aviation SE-210 Caravelle 10R
Sud Aviation SE-210 Caravelle 6N
Sud Aviation SE-210 Caravelle III
Sud Aviation SE-210 Caravelle VIN
Sud Aviation SE-210 Caravelle VIR
Sud-Aviation  Caravelle VI-N
Sud-Aviation Caravelle 10-R
Sud-Aviation Caravelle 3
Sud-Aviation Caravelle III
Sud-Aviation Caravelle VI-N
Sud-Aviation Caravelle VI-R
Sud-Aviation SE210 Caravelle
Sukhoi Su-27
Sukhoi Superjet 100-95
Super Zeppelin (airship)
Supermarine Stranraer (flying boat)
Swallow
Swallow
Swear. SA-227CC Metro 23/Piper Navajo
Swearingen 226TC Metro II
Swearingen SA-226AT Merlin IV
Swearingen SA-226T Metro II
Swearingen SA-226TC / Mooney M-20C
Swearingen SA-226TC Metro II
Swearingen SA-226TC Metroliner II
Swearingen SA-227AC Metro III
Swearingen SA-227BC Metro III
Swearingen SA-227BC Metroliner III
Swearingen SA-26TC Metro II
Swearingen SA.226AT Merlin IV
Swearingen SA.226TC Metro I
Swearingen SA.226TC Metro II
Swearingen SA.227AC Metro
Swearingen SA.227AC Metro III
Swearingen SA.227AT Merlin IVC
Swearingen SA227-AC
Swearingen SA227-AC Metro II
Swearingen SA227-AC Metro III
Swearingen SA227AC Metro III
Swearingen SA227AC Metroliner III
Swearingen SA227AT Merlin IVC
Swearingen SA26AT
Swearingen SA26T
Swearingen SA277-AT Expditer
Tempest
Transall C-160
Transall C-160D
Transall C-160NG
Transportes Aéreos Orientales
Travel Air 4000
Travel Air 6000
Travel Air A6000A
Travel Air B6000
Tuolev 134AK
Tupolev 134A
Tupolev 134A-3
Tupolev 154B
Tupolev 154B-2
Tupolev 154M
Tupolev A.N.T. 20bis
Tupolev ANT-20 / I-5
Tupolev TU 154B-2
Tupolev TU-104
Tupolev TU-104-A
Tupolev TU-104A
Tupolev TU-104B
Tupolev TU-114B
Tupolev TU-124
Tupolev TU-124V
Tupolev TU-134
Tupolev TU-134A
Tupolev TU-134A / Antonov An-26
Tupolev TU-134A / Tupolev Tu-134A
Tupolev TU-134B-3
Tupolev TU-144
Tupolev TU-154
Tupolev TU-154A
Tupolev TU-154B
Tupolev TU-154B-1
Tupolev TU-154B-2
Tupolev TU-154M
Tupolev TU-154M / Boeing B-757-23APF
Tupolev TU-154M / C-141 Starlifter
Tupolev TU-154M / Sukhoi Su-24
Tupolev TU-204-100V
Tupolev Tu-104A
Tupolev Tu-104B
Tupolev Tu-114
Tupolev Tu-114D
Tupolev Tu-124
Tupolev Tu-124V
Tupolev Tu-134
Tupolev Tu-142M3
Tupolev Tu-154
Tupolev Tu-154B-2
Tupolev Tu-154M
UC-64A Noorduyn Norseman
UH-60 Black Hawk / UH-60 Black Hawk
UH-60 Blackhawk helilcopter
UH-60L Black Hawk
Unknown / Unknown
V6 (airship)
VC-Viking
VEB 14P
Vickers 604 Viking 1B
Vickers 610 Viking 1B
Vickers 610 Viking-1B
Vickers 614 Viking 1
Vickers 615 Viking 1B
Vickers 616 Viking 1B
Vickers 620 Viking 1
Vickers 621 Viking 1
Vickers 628 Viking 1B
Vickers 634 Viking
Vickers 634 Viking 1B
Vickers 639 Viking 1
Vickers 708 Viscount
Vickers 720 Viscount
Vickers 74 Vulcan
Vickers 757 Viscount
Vickers 785D Viscount
Vickers 798D Viscount
Vickers 802 Viscount
Vickers 803 Viscount
Vickers 804 Viscount
Vickers 813 Viscount
Vickers 815 Viscount
Vickers 828 Viscount
Vickers 837 Viscount
Vickers 952F Vanguard
Vickers Valetta
Vickers Valetta C-1
Vickers Valetta C-Mk.1
Vickers Valetta Mk1 / Avero Lancaster
Vickers Valetta T-3
Vickers Vanguard 951
Vickers Vanguard 952
Vickers Viking 1B
Vickers Viking 1B & Soviet YAK-3 fighter
Vickers Viking 3B
Vickers Viking 610-1B
Vickers Viscount
Vickers Viscount 701
Vickers Viscount 701C
Vickers Viscount 708
Vickers Viscount 710C
Vickers Viscount 720
Vickers Viscount 724
Vickers Viscount 739A
Vickers Viscount 739B
Vickers Viscount 745D
Vickers Viscount 745D / T-33A
Vickers Viscount 748D
Vickers Viscount 749
Vickers Viscount 754D / Douglas C-47
Vickers Viscount 755D
Vickers Viscount 759D
Vickers Viscount 763
Vickers Viscount 764 D
Vickers Viscount 764D
Vickers Viscount 768D
Vickers Viscount 781D
Vickers Viscount 782D
Vickers Viscount 785D
Vickers Viscount 794D
Vickers Viscount 803
Vickers Viscount 804
Vickers Viscount 812
Vickers Viscount 816
Vickers Viscount 818
Vickers Viscount 827 / Fokker T-21
Vickers Viscount 828
Vickers Viscount 832
Vickers Viscount 837
Vickers Viscount 838
Vickers Wellington bomber
Volpar 18
Volpar C45G
Vultee V-1
Waco, model YLC
Wapiti
Westland Sea King HC-4 (helicopter)
Wibault 280
Wibault 282T-12
Wibault 283-T12
Wright Byplane
Wright Flyer III
Xian MA-60
Xian Yunshuji Y-7-100C
Yakovlev 40
Yakovlev 40D
Yakovlev 42D
Yakovlev YAK-40
Yakovlev YAK-40 / Mil Mi-8
Yakovlev YAK-42
Yakovlev YAK-42D
Yakovlev Yak-40
Yunshuji Y-12
Yunshuji Y-12-II
Yunshuji Y-8D
Zeppelin Dixmunde (airship)
Zeppelin L-1 (airship)
Zeppelin L-10 (airship)
Zeppelin L-2 (airship)
Zeppelin L-22 (airship)
Zeppelin L-23 (airship)
Zeppelin L-31 (airship)
Zeppelin L-32 (airship)
Zeppelin L-34 (airship)
Zeppelin L-43 (airship)
Zeppelin L-44 (airship)
Zeppelin L-53 (airship)
Zeppelin L-59 (airship)
Zeppelin L-70 (airship)
Zeppelin L-8 (airship)
Zeppelin LZ-129
Zepplin LZ-95 (air ship)
de Hav Can. DHC-6 Tw Otter 100/ Cessna
de Havilland  Canada  DHC-5D Buffalo
de Havilland 104-6A
de Havilland 104-7X
de Havilland 106A
de Havilland 110
de Havilland 89A Dragon Rapide
de Havilland C-7B / Boeing Vertol CH-47A
de Havilland Can. DHC-6 -300/ Bell 206B
de Havilland Canada C-7A Caribou
de Havilland Canada CV-2B Caribou
de Havilland Canada DH-3T Otter
de Havilland Canada DHC 3T Turbine Otter
de Havilland Canada DHC-2 Beaver
de Havilland Canada DHC-2 Beaver MK- 1
de Havilland Canada DHC-2 Mark I Beaver
de Havilland Canada DHC-3 Otter
de Havilland Canada DHC-3 Turbo Otter
de Havilland Canada DHC-3T
de Havilland Canada DHC-4 Caribou
de Havilland Canada DHC-4A
de Havilland Canada DHC-4A Caribou
de Havilland Canada DHC-4T Caribou
de Havilland Canada DHC-5 Buffalo
de Havilland Canada DHC-5D Buffalo
de Havilland Canada DHC-6 Twin Otter
de Havilland Canada DHC-6 Twin Otter 100
de Havilland Canada DHC-6 Twin Otter 200
de Havilland Canada DHC-6 Twin Otter 300
de Havilland Canada DHC-6 Twin Otter 310
de Havilland Canada DHC-6-300 Twin Otter
de Havilland Canada DHC-7-102
de Havilland Canada DHC-7-103
de Havilland Canada DHC-8-102
de Havilland Canada DHC-8-103
de Havilland Canada DHC-8-301
de Havilland Canada DHC-8-402Q Dash 8
de Havilland Canada U-1A Otter
de Havilland Comet 4
de Havilland Comet 4B
de Havilland Comet 4C
de Havilland DCH-4T Caribou
de Havilland DH-104
de Havilland DH-104 / Piper PA-28
de Havilland DH-106 Comet 4
de Havilland DH-114 Heron
de Havilland DH-114 Heron 1B
de Havilland DH-114 Heron 2
de Havilland DH-114 Heron 2B
de Havilland DH-114 Heron 2D
de Havilland DH-125-1A
de Havilland DH-125-400A
de Havilland DH-18 / Farman F-60 Goliath
de Havilland DH-34
de Havilland DH-34B
de Havilland DH-4
de Havilland DH-50A
de Havilland DH-66 Hercules
de Havilland DH-84 Dragon
de Havilland DH-86
de Havilland DH-86A
de Havilland DH-89A Dragon Rapide
de Havilland DH-9
de Havilland DH-9C
de Havilland DH.50J
de Havilland DH.80 Puss Moth
de Havilland DH106 Comet 1
de Havilland DH106 Comet 1A
de Havilland DH114 Heron 2E
de Havilland DHA-3 Drover II
de Havilland DHC -6-100
de Havilland DHC-2
de Havilland DHC-2 Beaver
de Havilland DHC-2 MK.1 Beaver
de Havilland DHC-2 Mk 1 Beaver
de Havilland DHC-3
de Havilland DHC-3 Otter
de Havilland DHC-3T Vazar TurbineOtter
de Havilland DHC-5 Buffalo
de Havilland DHC-6
de Havilland DHC-6 Twim Otter 100
de Havilland DHC-6 Twin Otter
de Havilland DHC-6 Twin Otter 300
de Havilland DHC-6 Twin Otter 400
de Havilland DHC-6-200
de Havilland Dash-2 Beaver
de Havilland Dash-2 float plane
de Havilland Dove 1
de Havilland Dragon 1
de Havilland RU-6A Beaver /Bell UH-1H
de Hvilland 89A Dragon Rapide
de havilland 89 Dragon Rapide
de havilland Canada Twin Otter 200
deHavilland DH-86
urocopter AS350 B2
